WeekID,Week Position,Song,Performer,SongID
2014-02-08,1,Dark Horse,Katy Perry Featuring Juicy J,Dark HorseKaty Perry Featuring Juicy J
2014-02-15,1,Dark Horse,Katy Perry Featuring Juicy J,Dark HorseKaty Perry Featuring Juicy J
2014-02-22,1,Dark Horse,Katy Perry Featuring Juicy J,Dark HorseKaty Perry Featuring Juicy J
2014-03-01,1,Dark Horse,Katy Perry Featuring Juicy J,Dark HorseKaty Perry Featuring Juicy J
2014-03-08,1,Happy,Pharrell Williams,HappyPharrell Williams
2014-03-15,1,Happy,Pharrell Williams,HappyPharrell Williams
2014-03-22,1,Happy,Pharrell Williams,HappyPharrell Williams
2014-03-29,1,Happy,Pharrell Williams,HappyPharrell Williams
2014-04-05,1,Happy,Pharrell Williams,HappyPharrell Williams
2014-04-12,1,Happy,Pharrell Williams,HappyPharrell Williams
2014-04-19,1,Happy,Pharrell Williams,HappyPharrell Williams
2014-04-26,1,Happy,Pharrell Williams,HappyPharrell Williams
2014-05-03,1,Happy,Pharrell Williams,HappyPharrell Williams
2014-05-10,1,Happy,Pharrell Williams,HappyPharrell Williams
2014-05-17,1,All Of Me,John Legend,All Of MeJohn Legend
2014-05-24,1,All Of Me,John Legend,All Of MeJohn Legend
2014-05-31,1,All Of Me,John Legend,All Of MeJohn Legend
2014-06-07,1,Fancy,Iggy Azalea Featuring Charli XCX,FancyIggy Azalea Featuring Charli XCX
2014-06-14,1,Fancy,Iggy Azalea Featuring Charli XCX,FancyIggy Azalea Featuring Charli XCX
2014-06-21,1,Fancy,Iggy Azalea Featuring Charli XCX,FancyIggy Azalea Featuring Charli XCX
2014-06-28,1,Fancy,Iggy Azalea Featuring Charli XCX,FancyIggy Azalea Featuring Charli XCX
2014-07-05,1,Fancy,Iggy Azalea Featuring Charli XCX,FancyIggy Azalea Featuring Charli XCX
2014-07-12,1,Fancy,Iggy Azalea Featuring Charli XCX,FancyIggy Azalea Featuring Charli XCX
2014-07-19,1,Fancy,Iggy Azalea Featuring Charli XCX,FancyIggy Azalea Featuring Charli XCX
2014-07-26,1,Rude,MAGIC!,RudeMAGIC!
2014-08-02,1,Rude,MAGIC!,RudeMAGIC!
2014-08-09,1,Rude,MAGIC!,RudeMAGIC!
2014-08-16,1,Rude,MAGIC!,RudeMAGIC!
2014-08-23,1,Rude,MAGIC!,RudeMAGIC!
2014-08-30,1,Rude,MAGIC!,RudeMAGIC!
2014-09-06,1,Shake It Off,Taylor Swift,Shake It OffTaylor Swift
2014-09-13,1,Shake It Off,Taylor Swift,Shake It OffTaylor Swift
2014-09-20,1,All About That Bass,Meghan Trainor,All About That BassMeghan Trainor
2014-09-27,1,All About That Bass,Meghan Trainor,All About That BassMeghan Trainor
2014-10-04,1,All About That Bass,Meghan Trainor,All About That BassMeghan Trainor
2014-10-11,1,All About That Bass,Meghan Trainor,All About That BassMeghan Trainor
2014-10-18,1,All About That Bass,Meghan Trainor,All About That BassMeghan Trainor
2014-10-25,1,All About That Bass,Meghan Trainor,All About That BassMeghan Trainor
2014-11-01,1,All About That Bass,Meghan Trainor,All About That BassMeghan Trainor
2014-11-08,1,All About That Bass,Meghan Trainor,All About That BassMeghan Trainor
2014-11-15,1,Shake It Off,Taylor Swift,Shake It OffTaylor Swift
2014-11-22,1,Shake It Off,Taylor Swift,Shake It OffTaylor Swift
2014-11-29,1,Blank Space,Taylor Swift,Blank SpaceTaylor Swift
2014-12-06,1,Blank Space,Taylor Swift,Blank SpaceTaylor Swift
2014-12-13,1,Blank Space,Taylor Swift,Blank SpaceTaylor Swift
2014-12-20,1,Blank Space,Taylor Swift,Blank SpaceTaylor Swift
2014-12-27,1,Blank Space,Taylor Swift,Blank SpaceTaylor Swift
2015-01-03,1,Blank Space,Taylor Swift,Blank SpaceTaylor Swift
2015-01-10,1,Blank Space,Taylor Swift,Blank SpaceTaylor Swift
2015-01-17,1,Uptown Funk!,Mark Ronson Featuring Bruno Mars,Uptown Funk!Mark Ronson Featuring Bruno Mars
2015-01-24,1,Uptown Funk!,Mark Ronson Featuring Bruno Mars,Uptown Funk!Mark Ronson Featuring Bruno Mars
2015-01-31,1,Uptown Funk!,Mark Ronson Featuring Bruno Mars,Uptown Funk!Mark Ronson Featuring Bruno Mars
2015-02-07,1,Uptown Funk!,Mark Ronson Featuring Bruno Mars,Uptown Funk!Mark Ronson Featuring Bruno Mars
2015-02-14,1,Uptown Funk!,Mark Ronson Featuring Bruno Mars,Uptown Funk!Mark Ronson Featuring Bruno Mars
2015-02-21,1,Uptown Funk!,Mark Ronson Featuring Bruno Mars,Uptown Funk!Mark Ronson Featuring Bruno Mars
2015-02-28,1,Uptown Funk!,Mark Ronson Featuring Bruno Mars,Uptown Funk!Mark Ronson Featuring Bruno Mars
