Date,Open,High,Low,Close,Adj Close,Volume,Year,Month,Day,Name
2009-10-19,1088.219971,1100.170044,1086.47998,1097.910034,1097.910034,4619240000,2009,10,19,Monday
2009-10-26,1080.359985,1091.75,1065.22998,1066.949951,1066.949951,6363380000,2009,10,26,Monday
2009-11-02,1036.180054,1052.180054,1029.380005,1042.880005,1042.880005,6202640000,2009,11,2,Monday
2009-11-09,1072.310059,1093.189941,1072.310059,1093.079956,1093.079956,4460030000,2009,11,9,Monday
2009-11-16,1094.130005,1113.689941,1094.130005,1109.300049,1109.300049,4565850000,2009,11,16,Monday
2009-11-23,1094.859985,1112.380005,1094.859985,1106.23999,1106.23999,3827920000,2009,11,23,Monday
2009-11-30,1091.069946,1097.23999,1086.25,1095.630005,1095.630005,3895520000,2009,11,30,Monday
2009-12-07,1105.52002,1110.719971,1100.829956,1103.25,1103.25,4103360000,2009,12,7,Monday
2009-12-14,1107.839966,1114.76001,1107.839966,1114.109985,1114.109985,4548490000,2009,12,14,Monday
2009-12-21,1105.310059,1117.680054,1105.310059,1114.050049,1114.050049,3977340000,2009,12,21,Monday
2009-12-28,1127.530029,1130.380005,1123.51001,1127.780029,1127.780029,2716400000,2009,12,28,Monday
2010-01-04,1116.560059,1133.869995,1116.560059,1132.98999,1132.98999,3991400000,2010,1,4,Monday
2010-01-11,1145.959961,1149.73999,1142.02002,1146.97998,1146.97998,4255780000,2010,1,11,Monday
2010-01-25,1092.400024,1102.969971,1092.400024,1096.780029,1096.780029,4481390000,2010,1,25,Monday
2010-02-01,1073.890015,1089.380005,1073.890015,1089.189941,1089.189941,4077610000,2010,2,1,Monday
2010-02-08,1065.51001,1071.199951,1056.51001,1056.73999,1056.73999,4089820000,2010,2,8,Monday
2010-02-22,1110.0,1112.290039,1105.380005,1108.01001,1108.01001,3814440000,2010,2,22,Monday
2010-03-01,1105.359985,1116.109985,1105.359985,1115.709961,1115.709961,3847640000,2010,3,1,Monday
2010-03-08,1138.400024,1141.050049,1136.77002,1138.5,1138.5,3774680000,2010,3,8,Monday
2010-03-15,1148.530029,1150.97998,1141.449951,1150.51001,1150.51001,4164110000,2010,3,15,Monday
2010-03-22,1157.25,1167.819946,1152.880005,1165.810059,1165.810059,4261680000,2010,3,22,Monday
2010-03-29,1167.709961,1174.849976,1167.709961,1173.219971,1173.219971,4375580000,2010,3,29,Monday
2010-04-05,1178.709961,1187.72998,1178.709961,1187.439941,1187.439941,3881620000,2010,4,5,Monday
2010-04-12,1194.939941,1199.199951,1194.709961,1196.47998,1196.47998,4607090000,2010,4,12,Monday
2010-04-19,1192.060059,1197.869995,1183.680054,1197.52002,1197.52002,6597740000,2010,4,19,Monday
2010-04-26,1217.069946,1219.800049,1211.069946,1212.050049,1212.050049,5647760000,2010,4,26,Monday
2010-05-03,1188.579956,1205.130005,1188.579956,1202.26001,1202.26001,4938050000,2010,5,3,Monday
2010-05-10,1122.27002,1163.849976,1122.27002,1159.72998,1159.72998,6893700000,2010,5,10,Monday
2010-05-17,1136.52002,1141.880005,1114.959961,1136.939941,1136.939941,5922920000,2010,5,17,Monday
2010-05-24,1084.780029,1089.949951,1072.699951,1073.650024,1073.650024,5224040000,2010,5,24,Monday
2010-06-07,1065.839966,1071.359985,1049.859985,1050.469971,1050.469971,5467560000,2010,6,7,Monday
2010-06-14,1095.0,1105.910034,1089.030029,1089.630005,1089.630005,4425830000,2010,6,14,Monday
2010-06-21,1122.790039,1131.22998,1108.23999,1113.199951,1113.199951,4514360000,2010,6,21,Monday
2010-06-28,1077.5,1082.599976,1071.449951,1074.569946,1074.569946,3896410000,2010,6,28,Monday
2010-07-12,1077.22998,1080.780029,1070.449951,1078.75,1078.75,3426990000,2010,7,12,Monday
2010-07-19,1066.849976,1074.699951,1061.109985,1071.25,1071.25,4089500000,2010,7,19,Monday
2010-07-26,1102.890015,1115.01001,1101.300049,1115.01001,1115.01001,4009650000,2010,7,26,Monday
2010-08-02,1107.530029,1127.300049,1107.530029,1125.859985,1125.859985,4144180000,2010,8,2,Monday
2010-08-09,1122.800049,1129.23999,1120.910034,1127.790039,1127.790039,3979360000,2010,8,9,Monday
2010-08-16,1077.48999,1082.619995,1069.48999,1079.380005,1079.380005,3142450000,2010,8,16,Monday
2010-08-23,1073.359985,1081.579956,1067.079956,1067.359985,1067.359985,3210950000,2010,8,23,Monday
2010-08-30,1062.900024,1064.400024,1048.790039,1048.920044,1048.920044,2917990000,2010,8,30,Monday
2010-09-13,1113.380005,1123.869995,1113.380005,1121.900024,1121.900024,4521050000,2010,9,13,Monday
2010-09-20,1126.569946,1144.859985,1126.569946,1142.709961,1142.709961,3364080000,2010,9,20,Monday
2010-09-27,1148.640015,1149.920044,1142.0,1142.160034,1142.160034,3587860000,2010,9,27,Monday
2010-10-04,1144.959961,1148.160034,1131.869995,1137.030029,1137.030029,3604110000,2010,10,4,Monday
2010-10-11,1165.319946,1168.680054,1162.02002,1165.319946,1165.319946,2505900000,2010,10,11,Monday
2010-10-18,1176.829956,1185.530029,1174.550049,1184.709961,1184.709961,4450050000,2010,10,18,Monday
2010-10-25,1184.73999,1196.140015,1184.73999,1185.619995,1185.619995,4221380000,2010,10,25,Monday
2010-11-01,1185.709961,1195.810059,1177.650024,1184.380005,1184.380005,4129180000,2010,11,1,Monday
2010-11-08,1223.23999,1224.569946,1217.550049,1223.25,1223.25,3937230000,2010,11,8,Monday
2010-11-15,1200.439941,1207.430054,1197.150024,1197.75,1197.75,3503370000,2010,11,15,Monday
2010-11-22,1198.069946,1198.939941,1184.579956,1197.839966,1197.839966,3689500000,2010,11,22,Monday
2010-11-29,1189.079956,1190.339966,1173.640015,1187.76001,1187.76001,3673450000,2010,11,29,Monday
2010-12-06,1223.869995,1225.800049,1220.670044,1223.119995,1223.119995,3527370000,2010,12,6,Monday
2010-12-13,1242.52002,1246.72998,1240.339966,1240.459961,1240.459961,4361240000,2010,12,13,Monday
2010-12-20,1245.76001,1250.199951,1241.51001,1247.079956,1247.079956,3548140000,2010,12,20,Monday
2010-12-27,1254.660034,1258.430054,1251.47998,1257.540039,1257.540039,1992470000,2010,12,27,Monday
2011-01-03,1257.619995,1276.170044,1257.619995,1271.869995,1271.869995,4286670000,2011,1,3,Monday
2011-01-10,1270.839966,1271.52002,1262.180054,1269.75,1269.75,4036450000,2011,1,10,Monday
2011-01-24,1283.290039,1291.930054,1282.469971,1290.839966,1290.839966,3902470000,2011,1,24,Monday
2011-01-31,1276.5,1287.170044,1276.5,1286.119995,1286.119995,4167160000,2011,1,31,Monday
2011-02-07,1311.849976,1322.849976,1311.849976,1319.050049,1319.050049,3902270000,2011,2,7,Monday
2011-02-14,1328.72998,1332.959961,1326.900024,1332.319946,1332.319946,3567040000,2011,2,14,Monday
2011-02-28,1321.609985,1329.380005,1320.550049,1327.219971,1327.219971,1252850000,2011,2,28,Monday
2011-03-07,1322.719971,1327.680054,1303.98999,1310.130005,1310.130005,3964730000,2011,3,7,Monday
2011-03-14,1301.189941,1301.189941,1286.369995,1296.390015,1296.390015,4050370000,2011,3,14,Monday
2011-03-21,1281.650024,1300.579956,1281.650024,1298.380005,1298.380005,4223730000,2011,3,21,Monday
2011-03-28,1315.449951,1319.73999,1310.189941,1310.189941,1310.189941,3215170000,2011,3,28,Monday
2011-04-04,1333.560059,1336.73999,1329.099976,1332.869995,1332.869995,4223740000,2011,4,4,Monday
2011-04-11,1329.01001,1333.77002,1321.060059,1324.459961,1324.459961,3478970000,2011,4,11,Monday
2011-04-18,1313.349976,1313.349976,1294.699951,1305.140015,1305.140015,4223740000,2011,4,18,Monday
2011-04-25,1337.140015,1337.550049,1331.469971,1335.25,1335.25,2142130000,2011,4,25,Monday
2011-05-02,1365.209961,1370.579956,1358.589966,1361.219971,1361.219971,3846250000,2011,5,2,Monday
2011-05-09,1340.199951,1349.439941,1338.640015,1346.290039,1346.290039,4265250000,2011,5,9,Monday
2011-05-16,1334.77002,1343.329956,1327.319946,1329.469971,1329.469971,3846250000,2011,5,16,Monday
2011-05-23,1333.069946,1333.069946,1312.880005,1317.369995,1317.369995,3255580000,2011,5,23,Monday
2011-06-06,1300.26001,1300.26001,1284.719971,1286.170044,1286.170044,3555980000,2011,6,6,Monday
2011-06-13,1271.310059,1277.040039,1265.640015,1271.829956,1271.829956,4132520000,2011,6,13,Monday
