Date,Open,High,Low,Close,Adj Close,Volume,Day,Weekly_Ret,2Weekly_Ret,LogWeekly_Ret,Log2Weekly_Ret,4Weekly_Ret,Log4_Weekly
29-11-13,1808.689941,1813.550049,1803.97998,1805.810059,1805.810059,1598300000,6,0.000581822,0.004243182,0.000581653,0.004234205,0.025073252,0.024764075
06-12-13,1788.359985,1806.040039,1788.359985,1805.089966,1805.089966,3150030000,6,-0.000398765,0.000182825,-0.000398844,0.000182809,0.019473504,0.019286322
13-12-13,1777.97998,1780.920044,1772.449951,1775.319946,1775.319946,3061070000,6,-0.016492264,-0.016884452,-0.016629775,-0.017028619,-0.012712914,-0.012794414
20-12-13,1810.390015,1823.75,1810.25,1818.319946,1818.319946,5097700000,6,0.024220986,0.007329263,0.02393231,0.007302535,0.007513429,0.007485344
27-12-13,1842.969971,1844.890015,1839.810059,1841.400024,1841.400024,2052920000,6,0.012693079,0.037221504,0.012613197,0.036545507,0.019708587,0.019516888
03-01-14,1833.209961,1838.23999,1829.130005,1831.369995,1831.369995,2774270000,6,-0.005446958,0.007176982,-0.005461847,0.00715135,0.014558847,0.014453885
10-01-14,1840.060059,1843.150024,1832.430054,1842.369995,1842.369995,3335710000,6,0.006006432,0.000526757,0.005988466,0.000526619,0.037767868,0.037072126
17-01-14,1844.22998,1846.040039,1835.22998,1838.699951,1838.699951,3626120000,6,-0.001992023,0.004002444,-0.00199401,0.003994456,0.011208151,0.011145805
24-01-14,1826.959961,1826.959961,1790.290039,1790.290039,1790.290039,4618450000,6,-0.026328337,-0.028267914,-0.026681134,-0.028675144,-0.027756047,-0.028148525
31-01-14,1790.880005,1793.880005,1772.26001,1782.589966,1782.589966,4059690000,6,-0.00430102,-0.030516118,-0.004310296,-0.03099143,-0.026635813,-0.026996974
07-02-14,1776.01001,1798.030029,1776.01001,1797.02002,1797.02002,3775990000,6,0.008094993,0.003759157,0.008062405,0.003752109,-0.02461502,-0.024923035
14-02-14,1828.459961,1841.650024,1825.589966,1838.630005,1838.630005,3114750000,6,0.023154992,0.031437425,0.022890983,0.030953388,-3.8041E-05,-3.80417E-05
21-02-14,1841.069946,1846.130005,1835.599976,1836.25,1836.25,3403880000,6,-0.001294445,0.021830575,-0.001295283,0.0215957,0.025671796,0.025347809
28-02-14,1855.119995,1867.920044,1847.670044,1859.449951,1859.449951,3917450000,6,0.012634419,0.011323619,0.01255527,0.011259987,0.04311703,0.042213375
07-03-14,1878.52002,1883.569946,1870.560059,1878.040039,1878.040039,3564740000,6,0.009997628,0.02275836,0.009947982,0.022503252,0.045085763,0.044098952
14-03-14,1845.069946,1852.439941,1839.569946,1841.130005,1841.130005,3285460000,6,-0.019653486,-0.009852347,-0.019849184,-0.009901202,0.001359708,0.001358784
21-03-14,1874.530029,1883.969971,1863.459961,1866.52002,1866.52002,5270710000,6,0.013790452,-0.006134065,0.013696229,-0.006152955,0.016484694,0.016350297
28-03-14,1850.069946,1866.630005,1850.069946,1857.619995,1857.619995,2955520000,6,-0.004768245,0.008956451,-0.004779649,0.00891658,-0.000984138,-0.000984623
04-04-14,1890.25,1897.280029,1863.26001,1865.089966,1865.089966,3583750000,6,0.004021259,-0.000766161,0.004013195,-0.000766454,-0.006895526,-0.00691941
11-04-14,1830.650024,1835.069946,1814.359985,1815.689941,1815.689941,3743460000,6,-0.026486671,-0.022571922,-0.026843763,-0.022830568,-0.013817636,-0.013913988
25-04-14,1877.719971,1877.719971,1859.699951,1863.400024,1863.400024,3213020000,6,0.026276559,-0.000906091,0.025937261,-0.000906502,-0.001671558,-0.001672956
02-05-14,1885.300049,1891.329956,1878.5,1881.140015,1881.140015,3159560000,6,0.009520227,0.036046944,0.009475195,0.035412456,0.012661373,0.012581888
09-05-14,1875.27002,1878.569946,1867.02002,1878.47998,1878.47998,3025020000,6,-0.001414055,0.00809271,-0.001415055,0.00806014,0.007179286,0.007153637
16-05-14,1871.189941,1878.280029,1864.819946,1877.859985,1877.859985,3173650000,6,-0.000330051,-0.001743639,-0.000330106,-0.001745161,0.034240452,0.033667294
23-05-14,1893.319946,1901.26001,1893.319946,1900.530029,1900.530029,2396280000,6,0.012072276,0.01173824,0.011999987,0.011669881,0.019925944,0.019730021
30-05-14,1920.329956,1924.030029,1916.640015,1923.569946,1923.569946,3263490000,6,0.01212289,0.024341517,0.012049997,0.024049984,0.022555435,0.022304822
06-06-14,1942.410034,1949.439941,1942.410034,1949.439941,1949.439941,2864300000,6,0.013448949,0.02573488,0.013359315,0.025409312,0.037775202,0.037079193
13-06-14,1930.800049,1937.300049,1927.689941,1936.160034,1936.160034,2598230000,6,-0.006812165,0.006545168,-0.006835474,0.006523841,0.031046004,0.030573825
20-06-14,1960.449951,1963.910034,1959.170044,1962.869995,1962.869995,4336240000,6,0.013795327,0.006889186,0.013701038,0.006865564,0.032801358,0.032274875
27-06-14,1956.560059,1961.469971,1952.180054,1960.959961,1960.959961,4290590000,6,-0.000973082,0.012808821,-0.000973556,0.012727482,0.019437824,0.019251323
11-07-14,1965.76001,1968.670044,1959.630005,1967.569946,1967.569946,2684630000,6,0.00337079,0.002394428,0.003365122,0.002391566,0.00930011,0.00925713
18-07-14,1961.540039,1979.910034,1960.819946,1978.219971,1978.219971,3106060000,6,0.005412781,0.008801817,0.005398184,0.008763306,0.021723378,0.021490788
25-07-14,1984.599976,1984.599976,1974.369995,1978.339966,1978.339966,2638960000,6,6.06581E-05,0.005473767,6.06562E-05,0.005458841,0.007881302,0.007850407
01-08-14,1929.800049,1937.349976,1916.369995,1925.150024,1925.150024,3789660000,6,-0.026886148,-0.026827121,-0.027254193,-0.027193537,-0.018261432,-0.01843023
08-08-14,1910.349976,1932.380005,1909.01001,1931.589966,1931.589966,2902280000,6,0.003345164,-0.023630923,0.003339581,-0.023914612,-0.018286506,-0.018455771
15-08-14,1958.869995,1964.040039,1941.5,1955.060059,1955.060059,3023380000,6,0.01215066,0.01553647,0.012077433,0.015417014,-0.01170745,-0.011776522
22-08-14,1992.599976,1993.540039,1984.76001,1988.400024,1988.400024,2301860000,6,0.017053167,0.029411034,0.016909394,0.028986827,0.005085101,0.005072215
29-08-14,1998.449951,2003.380005,1994.650024,2003.369995,2003.369995,2259130000,6,0.007528652,0.024710206,0.007500453,0.024409846,0.040630585,0.039826861
05-09-14,1998,2007.709961,1990.099976,2007.709961,2007.709961,2818300000,6,0.002166333,0.009711294,0.00216399,0.009664442,0.039407947,0.038651269
12-09-14,1996.73999,1996.73999,1980.26001,1985.540039,1985.540039,3206570000,6,-0.011042393,-0.008899982,-0.011103813,-0.008939823,0.015590304,0.015470023
19-09-14,2012.73999,2019.26001,2006.589966,2010.400024,2010.400024,4880220000,6,0.012520516,0.001339866,0.012442782,0.00133897,0.011064172,0.011003412
26-09-14,1966.219971,1986.369995,1966.219971,1982.849976,1982.849976,2929440000,6,-0.013703764,-0.001354827,-0.013798528,-0.001355745,-0.01024275,-0.010295568
03-10-14,1948.119995,1971.189941,1948.119995,1967.900024,1967.900024,3560970000,6,-0.007539628,-0.021140071,-0.007568195,-0.021366723,-0.01982853,-0.020027753
10-10-14,1925.630005,1936.97998,1906.050049,1906.130005,1906.130005,4550540000,6,-0.031388799,-0.038691768,-0.031891985,-0.03946018,-0.039994174,-0.040815926
17-10-14,1864.910034,1898.160034,1864.910034,1886.76001,1886.76001,4482120000,6,-0.010161949,-0.041231777,-0.010213934,-0.042105919,-0.061500205,-0.063472642
24-10-14,1951.589966,1965.27002,1946.27002,1964.579956,1964.579956,3078380000,6,0.041245281,0.0306642,0.040417382,0.030203448,-0.00921402,-0.009256732
31-10-14,2001.199951,2018.189941,2001.199951,2018.050049,2018.050049,4292290000,6,0.027217061,0.069584917,0.026853263,0.067270645,0.025484031,0.025164726
07-11-14,2032.359985,2034.26001,2025.069946,2031.920044,2031.920044,3704280000,6,0.006872969,0.034277092,0.006849458,0.033702721,0.065992371,0.063906169
14-11-14,2039.73999,2042.219971,2035.199951,2039.819946,2039.819946,3227130000,6,0.0038879,0.01078759,0.003880362,0.010729819,0.081123161,0.078000465
21-11-14,2057.459961,2071.459961,2056.75,2063.5,2063.5,3916420000,6,0.011608894,0.015541928,0.011542028,0.01542239,0.050351753,0.049125111
28-11-14,2074.780029,2075.76001,2065.060059,2067.560059,2067.560059,2504640000,6,0.001967559,0.013599295,0.001965626,0.013507654,0.024533589,0.024237474
05-12-14,2072.780029,2079.469971,2070.810059,2075.370117,2075.370117,3419620000,6,0.003777427,0.005752419,0.003770311,0.005735937,0.021383751,0.021158327
12-12-14,2030.359985,2032.25,2002.329956,2002.329956,2002.329956,4157650000,6,-0.0351938,-0.031549315,-0.035828027,-0.032057716,-0.018379068,-0.018550062
19-12-14,2061.040039,2077.850098,2061.030029,2070.649902,2070.649902,6465530000,6,0.034120224,-0.002274397,0.03355104,-0.002276987,0.003464939,0.00345895
26-12-14,2084.300049,2092.699951,2084.300049,2088.77002,2088.77002,1735230000,6,0.008750933,0.04316974,0.008712865,0.042263905,0.01025845,0.010206189
02-01-15,2058.899902,2072.360107,2046.040039,2058.199951,2058.199951,2708700000,6,-0.01463544,-0.006012581,-0.014743595,-0.00603073,-0.008273303,-0.008307717
09-01-15,2063.449951,2064.429932,2038.329956,2044.810059,2044.810059,3364140000,6,-0.006505632,-0.02104586,-0.006526886,-0.021270481,0.021215336,0.020993424
16-01-15,1992.25,2020.459961,1988.119995,2019.420044,2019.420044,4056410000,6,-0.012416809,-0.018841662,-0.012494541,-0.019021427,-0.024740956,-0.025052157
23-01-15,2062.97998,2062.97998,2050.540039,2051.820068,2051.820068,3573560000,6,0.016044222,0.003428196,0.015916874,0.003422333,-0.017689813,-0.017848148
30-01-15,2019.349976,2023.319946,1993.380005,1994.98999,1994.98999,4568650000,6,-0.027697398,-0.012097559,-0.028088205,-0.01217133,-0.030711283,-0.031192758
06-02-15,2062.280029,2072.399902,2049.969971,2055.469971,2055.469971,4232970000,6,0.030315932,0.001778861,0.029865485,0.001777281,0.005213155,0.005199614
13-02-15,2088.780029,2097.030029,2086.699951,2096.98999,2096.98999,3527450000,6,0.020199769,0.051128076,0.01999846,0.049863946,0.038411992,0.037692615
20-02-15,2097.649902,2110.610107,2085.439941,2110.300049,2110.300049,3281600000,6,0.006347221,0.026675203,0.006327162,0.026325623,0.028501515,0.028102903
27-02-15,2110.879883,2112.73999,2103.75,2104.5,2104.5,3547380000,6,-0.002748448,0.003581328,-0.002752231,0.003574931,0.054892511,0.053438876
06-03-15,2100.909912,2100.909912,2067.27002,2071.26001,2071.26001,3853570000,6,-0.015794721,-0.018499757,-0.015920787,-0.018673018,0.00768196,0.007652604
13-03-15,2064.560059,2064.560059,2041.170044,2053.399902,2053.399902,3498560000,6,-0.008622823,-0.024281349,-0.008660214,-0.024581001,-0.02078698,-0.02100607
20-03-15,2090.320068,2113.919922,2090.320068,2108.100098,2108.100098,5554120000,6,0.026638842,0.017786317,0.026290206,0.017629992,-0.001042483,-0.001043026
27-03-15,2055.780029,2062.830078,2052.959961,2061.02002,2061.02002,3008550000,6,-0.022332942,0.003710976,-0.022586099,0.003704107,-0.02066048,-0.020876894
10-04-15,2091.51001,2102.610107,2091.51001,2102.060059,2102.060059,3156200000,6,0.019912489,-0.002865158,0.019716829,-0.00286927,0.014870199,0.014760722
17-04-15,2102.580078,2102.580078,2072.370117,2081.179932,2081.179932,3627600000,6,-0.009933173,0.009781522,-0.009982836,0.009733992,0.013528797,0.0134381
24-04-15,2112.800049,2120.919922,2112.800049,2117.689941,2117.689941,3375780000,6,0.017542937,0.007435507,0.017390836,0.007408,0.004549045,0.00453873
01-05-15,2087.379883,2108.409912,2087.379883,2108.290039,2108.290039,3379390000,6,-0.004438753,0.013026316,-0.004448633,0.012942203,0.022935255,0.022676195
08-05-15,2092.129883,2117.659912,2092.129883,2116.100098,2116.100098,3399440000,6,0.003704452,-0.000750744,0.003697607,-0.000751026,0.006679181,0.006656974
15-05-15,2122.070068,2123.889893,2116.810059,2122.72998,2122.72998,3092080000,6,0.003133066,0.006849125,0.003128169,0.006825776,0.019964659,0.019767979
22-05-15,2130.360107,2132.149902,2126.060059,2126.060059,2126.060059,2571860000,6,0.001568772,0.004706753,0.001567543,0.004695711,0.003952476,0.003944685
29-05-15,2120.659912,2120.659912,2104.889893,2107.389893,2107.389893,3927390000,6,-0.00878158,-0.007226584,-0.008820365,-0.007252822,-0.000426955,-0.000427047
05-06-15,2095.090088,2100.98999,2085.669922,2092.830078,2092.830078,3243690000,6,-0.006908933,-0.015629841,-0.00693291,-0.015753275,-0.010996654,-0.011057564
12-06-15,2107.429932,2107.429932,2091.330078,2094.110107,2094.110107,2719400000,6,0.000611626,-0.006301533,0.000611439,-0.006321471,-0.013482578,-0.013574293
19-06-15,2121.060059,2121.639893,2109.449951,2109.98999,2109.98999,4449810000,6,0.007583118,0.008199381,0.00755451,0.008165949,-0.007558615,-0.007587326
26-06-15,2102.620117,2108.919922,2095.379883,2101.48999,2101.48999,5025470000,6,-0.004028455,0.003524114,-0.004036591,0.003517919,-0.002799626,-0.002803552
10-07-15,2052.73999,2081.310059,2052.73999,2076.620117,2076.620117,3065070000,6,-0.0118344,-0.015815181,-0.011904984,-0.015941575,-0.007745474,-0.007775626
17-07-15,2126.800049,2128.909912,2119.879883,2126.639893,2126.639893,3362750000,6,0.024087109,0.011967653,0.023801591,0.011896607,0.015533943,0.015414526
24-07-15,2102.23999,2106.01001,2077.090088,2079.649902,2079.649902,3870040000,6,-0.022095885,0.001458998,-0.022343656,0.001457935,-0.014379257,-0.01448364
31-07-15,2111.600098,2114.23999,2102.070068,2103.840088,2103.840088,3681340000,6,0.011631855,-0.010721046,0.011564725,-0.010778931,0.001118301,0.001117676
